"","baseMean","log2FoldChange","lfcSE","pvalue","padj","label"
"GSTM1",273.801768267718,-1.72084005982398,0.446439798836148,4.03786670909493e-06,0.00690515585922323,"GSTM1"
"LOC105378620",234.220377879168,-1.54575672307572,0.243232181307835,8.42322122820646e-12,7.20227531117793e-08,"LOC105378620"
"FASN",2253.90140475511,-1.03249920017255,0.151082909872948,3.87804352706926e-13,6.63184223564115e-09,"FASN"
"RNA18SN5",6243.56986129222,1.85735510617447,0.421660460453837,4.51472379559166e-07,0.00110294702326304,"RNA18SN5"
"RNA18SN4",7077.62338010204,1.86629256912393,0.423491570916991,4.29177512545089e-07,0.00110294702326304,"RNA18SN4"
"RNA18SN1",9140.30207712236,1.88194540280135,0.422908057026084,3.89050615554665e-07,0.00110294702326304,"RNA18SN1"
"RNA18SN3",9535.07557562312,1.88833723626796,0.423379062606087,3.47368143482385e-07,0.00110294702326304,"RNA18SN3"
"RNA18SN2",10061.2212855733,1.89131494856415,0.42422148754962,3.57418899046232e-07,0.00110294702326304,"RNA18SN2"
"RMRP",33.8060093049095,3.38724643526312,0.972896201751673,1.76200164383484e-05,0.0251099917593496,NA
